id,title,corpus,poster,backdrop
14652,Bon voyage,Bon voyage Isabelle Adjani Gerard Depardieu star director JeanPaul Rappenaus amusing farce set eve World War II follows intersecting lives four Parisians cope impending invasion city German forces French government braces impact lives young writer vain movie star French politician young scientist examined attempt deal war evade German spies   grÃ©goriderangÃ¨re gÃ©rarddepardieu isabelleadjani jeanpaulrappeneau comedy drama foreign,/2pP1STSvXOv6jITKQnaZfI1xXB6.jpg,/3kXZJ8XogMUQhZKx4mfAlifKLwQ.jpg
40880,Pandaemonium,Pandaemonium Set England early 19th century Pandaemonium evokes late1960s America depiction relationship Samuel Taylor Coleridge Linus Roach William Wordsworth John Hannah Instead going Vietnam Wordsworth goes fight French Coleridge stays home promotes utopianism war poets live work together Coleridges wife Sara Samantha Morton Wordsworths sister Dorothy Emily Woof first communal arrangement works advantage Coleridgewho best writing Wordsworth stagnatesuntil Coleridge becomes addicted opium Wordsworth meanwhile find voice abandons friend 20thcentury vernacular Wordsworth yuppie Coleridge hippie   linusroache johnhannah samanthamorton julientemple drama foreign,/dO7wct6RAdDKEaQrA9IYD4BsKJL.jpg,/yUAL0nfgQWfMBehrigDnLIRHhB2.jpg
14608,Partition,Partition Determined leave ravages war behind 38 year old Gian Singh resigns British Indian Army quiet life world soon thrown turmoil suddenly finds responsible life 17 year old girl traumatized events separated family  drama independentfilm kristinkreuk jimimistry nevecampbell vicsarin drama foreign romance,/qCq3QZbrf2ENAEyPJVaCGbWOQ1N.jpg,/d9WT4FCjvB3Z6Sx2cYckdPi9rMI.jpg
27329,à¸ªà¸¸à¸£à¸´à¹à¸¢à¹à¸,à¸ªà¸¸à¸£à¸´à¹à¸¢à¹à¸ 16th century Thailand contends civil war Burmese invasion beautiful princess rises help protect glory Kingdom Ayothaya Based life Queen Suriyothai  queen thailand invasion mlpiyapasbhirombhakdi sarunyuwongkrachang chatchaiplengpanich chatrichalermyukol drama foreign history,/t7dh4Ex3xBJ1nwiPpRGxgCTUa3Y.jpg,/cQtFpE3cyWw2AWdRb5VGU9glOj8.jpg
15699,Opal Dream,Opal Dream Pobby amp Dingan invisible live opal town Australia friends Kellyanne 9 yearold daughter opal miner film tells story bizarre inexplicable disappearance Pobby amp Dingan Kellyannes imaginary friends impact family whole town story told eyes Kellyannes 11 years old brother Ashmol  miner australia terminalillness sapphireboyce christianbyers vincecolosimo petercattaneo drama family foreign,/xlwt6qcETBcMy6319C4RGOiKTqt.jpg,
20360,Namastey London,Namastey London Indianborn Manmohan Malhotra decided relocate London England established himself returned India got married Bebo period 4 years got visa could live him Shortly thereafter gave birth Jasmeet Manmohan always embarrassed Bebo overly healthy quite sophisticated result always left home socialized Bebo want Jasmeet end like her got admitted English Medium school encouraged mingle Caucasian friends result Jasmeet transformed Jazz  stunningly beautiful young woman British looks talk habits heart Manmohans plans get married Indian boy vain friend Parvez Khan similar situation son Imran openly romancing Caucasian blonde Susan Manmohan decides take family tour India   akshaykumar katrinakaif rishikapoor vipulamrutlalshah drama foreign romance,/dO0F66lM1jehIH5bsooKSbdz7xG.jpg,/jg3S4v9wE348Sw4U4eSCpDb5zeD.jpg
38415,Bran Nue Dae,Bran Nue Dae Summer 1965 young man filled life idyllic old pearling port Broome  fishing hanging mates girl However mother returns religious mission schooling punished act youthful rebellion runs away mission journey ultimately leads back home Bran Nue Dae musical womandirector rockymckenzie geoffreyrush jessicamauboy rachelperkins comedy drama foreign,/7tB7mr0OqHsgATo58PAtSNJpaP7.jpg,/rOslUzv0gFfOHsSacR7uqlcb2Ch.jpg
26665,Aberdeen,Aberdeen Kaisa Scot successful London lawyer snorts coke onenight stands strangers mother calls Aberdeen story begging fly Norway collect alcoholic dad seen years  alcohol cocaine daughter stellanskarsgÃ¥rd lenaheadey ianhart hanspettermoland drama comedy foreign,/yjDBeAxrXXd4kt4DpTbjHsmtukk.jpg,/177bT09OBoPZ0ZN1yqtQfbrqgq9.jpg
22908,A Room for Romeo Brass,Room Romeo Brass Two twelveyearold boys Romeo Gavin undergo extraordinary test character friendship Morell naive eccentric dangerous stranger comes them Morell befriends two boys later asks help pursue Romeos beautiful elder sister gradually becomes violent rejects him  rejection friendship youth paddyconsidine andrewshim frankharper shanemeadows drama comedy foreign,/gLpv2UUf5We4sXDKdo11aFfnKgw.jpg,/uztdTUkWckVTrjQLWPE5YOttbxY.jpg
38428,"Gandhi, My Father",Gandhi Father Gandhi Father producer Anil Kapoor director Feroz Abbas Khan shed light onto Gandhi person rather Gandhi icon Using Gandhiâs political career canvas film paints picture intricate complex strained relationship son Harilal Gandhi PeopleHe Father Sonhe Father never had biography mahatmagandhi tragedy darshanjariwala akshayekhanna bhumikachawla ferozabbaskhan drama foreign history,/sFzo2Ss4PQfNUlrzeTfwoVp5ajE.jpg,
